City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,Carutapera,-1.195,-46.02,79.21,83,35,7.27,BR,2021-12-05 23:35:59
87,Lasa,46.6166,10.7002,30.61,93,93,5.93,IT,2021-12-05 23:35:59
88,Clyde River,70.4692,-68.5914,10.63,85,100,27.63,CA,2021-12-05 23:36:00
89,Leningradskiy,69.3833,178.4167,-3.19,98,100,17.07,RU,2021-12-05 23:36:00
90,Abu Samrah,35.3029,37.1841,50.13,55,3,3.0,SY,2021-12-05 23:34:36
91,Torbay,47.6666,-52.7314,32.77,79,90,14.97,CA,2021-12-05 23:35:33
92,Saint Anthony,45.0205,-93.218,37.54,66,90,5.99,US,2021-12-05 23:36:01
93,Hermanus,-34.4187,19.2345,60.91,94,100,9.8,ZA,2021-12-05 23:37:01
94,Abulug,18.4453,121.4533,72.12,86,96,6.98,PH,2021-12-05 23:37:01
95,Butaritari,3.0707,172.7902,80.65,83,100,12.68,KI,2021-12-05 23:37:02
96,Kaitangata,-46.2817,169.8464,54.93,57,89,7.76,NZ,2021-12-05 23:37:02
97,Shahreza,32.0339,51.8794,45.03,25,100,3.31,IR,2021-12-05 23:37:03
98,Mayo,38.8876,-76.5119,51.26,68,1,0.0,US,2021-12-05 23:37:03
99,Payo,-3.7508,103.6372,73.89,95,100,2.21,ID,2021-12-05 23:37:04
100,Ribeira Grande,38.5167,-28.7,63.79,73,64,8.41,PT,2021-12-05 23:37:04
101,Hobyo,5.3505,48.5268,78.42,76,22,15.79,SO,2021-12-05 23:37:05
102,Fortuna,40.5982,-124.1573,56.43,72,90,1.01,US,2021-12-05 23:37:05
103,Sumbe,-11.2061,13.8437,77.32,90,70,4.74,AO,2021-12-05 23:37:06
104,Tuatapere,-46.1333,167.6833,55.81,50,82,7.27,NZ,2021-12-05 23:37:06
105,Lagoa,39.05,-27.9833,63.0,76,82,11.7,PT,2021-12-05 23:37:06
106,Berbera,10.4396,45.0143,75.65,67,2,4.83,SO,2021-12-05 23:37:07
